sample_id,replicate,root_area [mm^2],stele_area [mm^2],cortex_area [mm^2],test_succesful,test_comment
731,14,3.747275,1.12964375,2.6758125,TRUE,
732,1,4.395225,1.39130625,3.0662125,TRUE,
732,2,4.11841875,1.4059,2.78275,TRUE,
732,3,4.0519875,1.44961875,2.68971875,TRUE,
554,1,0.338731,0.057559,0.291212,TRUE,
554,2,0.322554,0.067925,0.263996,TRUE,
554,3,0.322159,0.069209,0.265018,TRUE,
555,1,1.048835,0.124566,0.938604,TRUE,
555,2,0.99854,0.136277,0.808554,TRUE,
555,3,0.846061,0.125038,0.734122,TRUE,
556,1,0.708148,0.155435,0.567078,TRUE,
556,2,0.581459,0.149477,0.446339,TRUE,
556,3,0.570831,0.151998,0.432125,TRUE,
557,1,1.291995,0.275685,1.034975,TRUE,
557,2,1.283231,0.290271,1.011423,TRUE,
557,3,1.286082,0.278358,1.026778,TRUE,
558,1,1.179958,0.199936,0.996913,TRUE,
558,2,1.193921,0.194538,1.016267,TRUE,
558,3,1.196806,0.19238,1.025063,TRUE,
559,1,1.515152,0.262301,1.2893,TRUE,
559,2,1.286428,0.25631,1.045239,TRUE,
559,3,1.463609,0.263352,1.236005,TRUE,
560,1,1.060723,0.215802,0.86263,TRUE,
560,2,1.007015,0.208079,0.811209,TRUE,
560,3,1.022305,0.203123,0.834755,TRUE,
561,1,1.744788,0.540235,1.229037,TRUE,
561,2,1.810469,0.578718,1.256393,TRUE,
561,3,1.813596,0.579417,1.258142,TRUE,
562,1,2.807073,0.638331,2.194961,TRUE,
562,2,2.858003,0.629886,2.254006,TRUE,
562,3,2.897744,0.649569,2.279778,TRUE,
563,1,3.689416,0.727325,3.002098,TRUE,
563,2,3.601146,0.686523,2.962962,TRUE,
563,3,3.78166,0.723239,3.10418,TRUE,
563,4,3.637472,0.747593,2.920434,TRUE,
564,1,2.671252,0.602273,2.104273,TRUE,
564,2,2.807793,0.571493,2.273372,TRUE,
564,3,2.791025,0.573429,2.24588,TRUE,
565,1,4.309974,1.166893,3.190026,TRUE,
565,2,4.294836,1.006499,3.335885,TRUE,
565,3,4.211266,1.074084,3.19192,TRUE,
566,1,2.689395,0.810145,1.912643,TRUE,
566,2,2.943961,0.822158,2.159379,TRUE,
566,3,2.965878,0.834479,2.176527,TRUE,
566,4,3.185934,0.855582,2.363654,TRUE,
566,5,3.151393,0.849869,2.336628,TRUE,
567,1,2.744387,0.743469,2.037312,TRUE,
567,2,2.822114,0.744342,2.115088,TRUE,
567,3,2.913193,0.745834,2.213538,TRUE,
567,4,3.008529,0.757751,2.288701,TRUE,
568,1,3.258172,0.696044,2.587735,TRUE,
568,2,3.271551,0.687018,2.613278,TRUE,
568,3,3.290517,0.702003,2.62487,TRUE,
569,1,2.783155,0.673126,2.136005,TRUE,
569,2,2.78349,0.682695,2.145334,TRUE,
569,3,2.843919,0.67476,2.21077,TRUE,
570,1,2.467536,0.579506,1.923017,TRUE,
570,2,2.537636,0.583836,1.985066,TRUE,
570,3,2.563056,0.584951,2.005657,TRUE,
570,4,2.610143,0.579556,2.066637,TRUE,
571,1,4.522503,1.407196,3.180564,TRUE,
571,2,4.513489,1.457778,3.115768,TRUE,
571,3,4.458061,1.402145,3.104006,TRUE,
572,1,3.476033,0.764151,2.741426,TRUE,
572,2,3.194637,0.725621,2.503193,TRUE,
572,3,3.2107,0.734066,2.506344,TRUE,
573,1,2.634567,0.518937,1.843682,TRUE,
573,2,2.659152,0.537081,1.866213,TRUE,
573,3,2.996037,0.544161,2.231164,TRUE,
575,1,2.254839,0.383402,1.898842,TRUE,
575,2,2.324404,0.369612,1.984241,TRUE,
575,3,2.429562,0.38296,2.07152,TRUE,
578,1,3.083964,0.827227,2.27923,TRUE,
578,2,3.305453,0.859411,2.47909,TRUE,
578,3,3.439081,0.86733,2.600532,TRUE,
579,1,2.770817,0.466755,2.335184,TRUE,
579,2,2.744217,0.452501,2.319923,TRUE,
579,3,2.761624,0.460873,2.325803,TRUE,
580,1,1.631532,0.232928,1.419639,TRUE,
580,2,1.661448,0.233236,1.450556,TRUE,
580,3,1.725009,0.235404,1.509895,TRUE,
581,1,1.333813,0.203685,1.147185,TRUE,
581,2,1.115799,0.192187,0.941127,TRUE,
581,3,1.195637,0.199305,1.014622,TRUE,
582,1,0.546219,0.100706,0.457091,TRUE,
582,2,0.440313,0.092114,0.360215,TRUE,
582,3,0.482602,0.098719,0.395496,TRUE,
584,1,5.599468,1.371527,4.282225,TRUE,
584,2,5.643229,1.345381,4.338158,TRUE,
584,3,5.833712,1.394291,4.485305,TRUE,
585,1,2.291704,0.372707,1.945026,TRUE,
585,2,2.229756,0.367874,1.886799,TRUE,
585,3,2.235544,0.373908,1.885275,TRUE,
586,1,2.136958,0.31193,1.852252,TRUE,
586,2,1.796586,0.286941,1.384133,TRUE,
586,3,1.640356,0.291888,1.209816,TRUE,
587,1,0.842369,0.182351,0.675676,TRUE,
587,2,0.489483,0.158505,0.344954,TRUE,
587,3,0.558869,0.166368,0.407332,TRUE,
594,1,3.323259,0.863,2.492227,TRUE,
594,2,3.339273,0.860909,2.508853,TRUE,
594,3,3.461616,0.883262,2.599898,TRUE,
595,1,3.363313,0.740872,2.66206,TRUE,
595,2,2.84506,0.721638,2.150417,TRUE,
595,3,2.91334,0.701738,2.236111,TRUE,
595,4,3.139276,0.737917,2.430093,TRUE,
597,1,3.801218,1.022269,2.8023,TRUE,
597,2,3.699481,1.008816,2.726638,TRUE,
597,3,3.712238,1.0071,2.736597,TRUE,
597,4,3.863958,1.035972,2.868596,TRUE,
599,1,4.201121,0.993551,3.244891,TRUE,
599,2,3.888139,0.938465,2.994056,TRUE,
599,3,3.926563,0.967017,3.002886,TRUE,
599,4,4.098878,0.977975,3.159027,TRUE,
600,1,1.812047,0.804525,1.047705,TRUE,
600,2,1.824529,0.796182,1.06239,TRUE,
600,3,1.885985,0.822762,1.095398,TRUE,
603,1,3.17908,0.563713,2.650968,TRUE,
603,2,3.223222,0.5576,2.701725,TRUE,
603,3,3.243129,0.545298,2.736066,TRUE,
606,1,4.176514,1.44089,2.77956,TRUE,
606,2,3.56809,1.305699,2.310084,TRUE,
606,3,3.664736,1.327388,2.381931,TRUE,
606,4,3.856982,1.288769,2.626205,TRUE,
612,1,1.183091,0.162621,1.040222,TRUE,
612,2,0.864674,0.141584,0.741008,TRUE,
612,3,0.896865,0.132372,0.788547,TRUE,
612,4,0.896224,0.132625,0.783543,TRUE,
613,1,1.338848,0.218915,1.145435,TRUE,
613,2,1.279311,0.213781,1.089784,TRUE,
613,3,1.32586,0.206496,1.147011,TRUE,
614,1,1.120564,0.155297,0.981702,TRUE,
614,2,0.954354,0.13298,0.838081,TRUE,
614,3,1.221445,0.147406,1.09411,TRUE,
615,1,0.610814,0.128804,0.495093,TRUE,
615,2,0.716596,0.120448,0.611135,TRUE,
615,3,0.726262,0.164806,0.573525,TRUE,
616,1,0.936804,0.240635,0.714658,TRUE,
616,2,0.948231,0.241785,0.721248,TRUE,
616,3,0.928378,0.239469,0.705929,TRUE,
617,1,0.882631,0.221387,0.680835,TRUE,
617,2,0.891402,0.232275,0.674043,TRUE,
617,3,0.960024,0.234705,0.735005,TRUE,
618,1,0.84043,0.175152,0.680553,TRUE,
618,2,0.853851,0.185727,0.688442,TRUE,
618,3,0.860327,0.177843,0.703275,TRUE,
619,1,1.898885,0.517474,1.410803,TRUE,
619,2,1.855107,0.463522,1.420065,TRUE,
619,3,1.875255,0.503137,1.396589,TRUE,
619,4,1.895573,0.465615,1.450084,TRUE,
620,1,3.178619,0.621114,2.589146,TRUE,
620,2,3.197237,0.63131,2.598915,TRUE,
620,3,3.229484,0.628111,2.62842,TRUE,
620,4,2.260898,0.589811,1.697758,FALSE,"GJM: labelled by KWL as ""CNTRL""; too far from measured diameter"
620,5,2.185328,0.519431,1.68408,FALSE,"GJM: labelled by KWL as ""CNTRL""; too far from measured diameter"
620,6,2.162541,0.536093,1.667878,FALSE,"GJM: labelled by KWL as ""CNTRL""; too far from measured diameter"
621,1,2.321005,0.601216,1.744695,TRUE,
621,2,2.024966,0.546679,1.493077,TRUE,
621,3,2.07324,0.557046,1.537155,TRUE,
622,1,1.321089,0.293068,1.046014,TRUE,
622,2,1.365064,0.272503,1.111334,TRUE,
622,3,1.418214,0.264261,1.177024,TRUE,
624,1,2.819754,0.922224,1.789235,TRUE,
624,2,2.716074,0.894972,1.690197,TRUE,
624,3,2.656951,0.915172,1.669876,TRUE,
625,1,2.289443,0.729831,1.589418,TRUE,
625,2,2.314922,0.732915,1.613792,TRUE,
625,3,2.455922,0.73751,1.744797,TRUE,
626,1,1.70814,0.765424,0.971661,TRUE,
626,2,1.752195,0.766754,1.007432,TRUE,
626,3,1.787042,0.796745,1.018846,TRUE,
626,4,1.861868,0.824885,1.059826,FALSE,"GJM: labelled by KWL as ""CNTRL"""
626,5,2.128719,0.891543,1.260498,FALSE,"GJM: labelled by KWL as ""CNTRL"""
626,6,2.138216,0.886334,1.277315,FALSE,"GJM: labelled by KWL as ""CNTRL"""
626,7,2.121297,0.885871,1.260008,TRUE,
634,1,3.751947,0.922049,2.867534,TRUE,
636,1,4.74778,1.324895,3.469767,TRUE,
636,2,4.845827,1.325028,3.557383,TRUE,
636,3,4.744635,1.312165,3.481539,TRUE,
637,1,1.379495,0.289685,1.114675,TRUE,
637,2,1.351169,0.286856,1.085474,TRUE,
637,3,1.290936,0.283224,1.030948,TRUE,
638,1,5.015881,1.675154,3.385467,TRUE,
638,2,4.980401,1.622611,3.39834,TRUE,
638,3,5.055695,1.679015,3.419021,TRUE,
639,1,3.527821,1.07341,2.508629,TRUE,
639,2,3.542694,1.068587,2.522677,TRUE,
639,3,3.643686,1.076764,2.616856,TRUE,
639,4,2.194828,0.875875,1.35277,FALSE,"GJM: labelled by KWL as ""CNTRL""; too far from measured diameter"
639,5,2.133166,0.87263,1.292175,FALSE,"GJM: labelled by KWL as ""CNTRL""; too far from measured diameter"
639,6,2.153843,0.859571,1.326089,FALSE,"GJM: labelled by KWL as ""CNTRL""; too far from measured diameter"
640,1,3.366063,0.852661,2.547508,TRUE,
640,2,3.212209,0.836756,2.398176,TRUE,
640,3,3.226567,0.864472,2.393324,TRUE,
641,1,5.871146,2.187316,3.750752,TRUE,
641,2,5.976746,2.261663,3.788644,TRUE,
641,3,6.049061,2.299049,3.83423,TRUE,
642,1,4.312134,1.418402,2.932595,TRUE,
642,2,4.352011,1.427455,2.969089,TRUE,
642,3,4.387611,1.467953,2.955198,TRUE,
642,4,4.722057,1.689822,3.089185,FALSE,"GJM: labelled by KWL as ""CNTRL"""
642,5,4.799109,1.690142,3.175199,FALSE,"GJM: labelled by KWL as ""CNTRL"""
642,6,4.791454,1.717446,3.132803,FALSE,"GJM: labelled by KWL as ""CNTRL"""
644,1,4.299724,1.189725,3.140591,TRUE,
644,2,4.307023,1.169834,3.174635,TRUE,
644,3,4.322981,1.17618,3.190731,TRUE,
