sample_id,diameter [mm],eps_ry [mm/mm],eps_ru [mm/mm],t_ry [MPa],t_ru [MPa],tortuosity [mm/mm],A_r [mm^2],A_s [mm^2],A_c [mm^2]
616,1.25,0.05364699761786966,0.13344689283888198,8.355603601643704,11.219824462316765,0.018345021096699693,0.9378043333333334,0.24062966666666666,0.713945
617,1.2,0.059339744196180266,0.17141824657862795,10.488692978761547,17.24799446390474,0.004799100097502797,0.9113523333333333,0.22945566666666667,0.6966276666666666
618,0.97,0.03554857313242275,0.13529076472542978,10.023469409855622,15.508445914206797,0.0021221306025094766,0.851536,0.179574,0.6907566666666667
620,1.94,0.0738644629990201,0.17368955736426006,3.6812398663494044,5.837690284779091,0.0018322073518053314,3.20178,0.626845,2.605493666666667
622,1.42,0.060884679614387344,0.14771680912152,9.022639065405532,15.293223047549109,0.01206150399511512,1.3681223333333334,0.27661066666666667,1.1114573333333333
625,1.96,0.060672416899473884,0.1418641327160389,8.41989478911471,14.171236948299692,0.005338522429513096,2.353429,0.7334186666666667,1.6493356666666665
626,1.31,0.034519186195274144,0.1619172393861105,7.258028447400372,14.187084406231026,7.253189687888137e-4,1.8421685,0.8036985,1.06448675
637,1.31,0.02806914547447483,0.09858487415904545,7.0513754759822636,11.570021881838073,0.0011424932842947972,1.3405333333333334,0.28658833333333333,1.0770323333333334
638,2.74,0.02052052866923243,0.07432390229099381,6.7445671860285055,10.772073329636367,0.0017835381907822232,5.017325666666666,1.6589266666666667,3.4009426666666664
639,2.03,0.054834755653349374,0.08369647918857533,5.924382912752236,7.220697091645004,0.0040634263338401215,3.5714003333333335,1.0729203333333333,2.5493873333333332
640,1.94,0.017790978788341513,0.06703502870803973,8.828925938025975,11.456485924960113,0.0027412139369986815,3.268279666666667,0.8512963333333333,2.446336
641,2.81,0.04310338883012642,0.08254260476604662,8.139611278445553,10.205256727220549,0.0010691452039465054,5.965651,2.2493426666666667,3.7912086666666664
642,2.31,0.03243394183672904,0.049338078101802366,6.683123678137964,8.465067842212191,0.007473208169842903,4.350585333333333,1.4379366666666666,2.952294
643,3.89,0.025039687001792568,0.05718898470182381,3.154594024919466,3.915318880794189,9.941602810708636e-4,11.307125000000001,4.626764583333333,6.811264583333333
644,2.59,0.04338102207564111,0.1107202253422069,4.0312403713941665,5.649538799269404,0.004249292081035948,4.309909333333334,1.1785796666666666,3.168652333333333
648,1.02,0.034043369384187463,0.20322037783653096,8.478850203221127,13.112135127324104,0.002177175695926374,1.24564,0.228133,1.041738
652,1.83,0.0433598344852785,0.2243246236346775,2.537641020393825,3.619389833826265,0.0017767970384067102,3.2013683333333334,0.4943383333333333,2.7356393333333333
654,2.02,0.09337599430152034,0.17318890734897335,3.6209011715964587,5.013108417021068,0.008277518300927824,2.1048816666666665,0.46105433333333334,1.6704353333333333
661,1.17,0.0343291220099188,0.13147810126883527,6.724754313316279,10.04969818997222,0.0033777929302200894,0.7208176666666667,0.123238,0.6124593333333334
662,1.23,0.025351822833556328,0.1300521955245074,5.913151422016704,9.280730708131808,1.6619097439603533e-4,1.3162756666666666,0.21081833333333333,1.125864
663,1.03,0.026615586305724817,0.13768763197520095,6.316653835145099,10.158988859294585,8.371085331617665e-4,1.097058,0.1734095,0.94469475
664,1.53,0.048960656767359986,0.16558765247185797,7.714393624752996,10.420866015133306,0.0035281323711871594,1.4056413333333333,0.2978866666666667,1.129583
665,1.33,0.05837336820683565,0.1782844966550834,5.4655375075388974,9.091357015640874,0.01557815909232808,1.380102,0.17266533333333334,1.2271750000000001
666,1.92,0.03072940095035049,0.2242160965091911,4.8826334151104,10.127226676840792,1.1754745850772832e-4,3.0159293333333332,0.6503313333333334,2.405592
667,1.94,0.040246746390800885,0.1221103638054297,4.108865215978129,6.732162221143904,3.472351803693645e-4,2.753944333333333,0.527298,2.256391333333333
668,1.99,0.052697248346808334,0.11359663686481997,5.0443389185645575,7.229035733755662,0.007043271212871077,5.057244333333333,1.315097,3.788799666666667
